,mean,sd,hdi_3%,hdi_97%
beta_5[41],-0.225,0.038,-0.305,-0.161
beta_5[11],-0.126,0.049,-0.216,-0.039
beta_5[25],-0.218,0.04,-0.291,-0.14
beta_5[35],-0.232,0.041,-0.315,-0.16
beta_5[22],-0.236,0.041,-0.317,-0.164
beta_5[27],-0.221,0.051,-0.309,-0.114
beta_5[2],-0.233,0.041,-0.312,-0.159
beta_5[47],-0.148,0.058,-0.261,-0.04
beta_5[5],-0.24,0.041,-0.314,-0.166
beta_5[36],-0.235,0.044,-0.322,-0.164
beta_5[48],-0.226,0.04,-0.299,-0.146
g_beta_6[0],-0.286,0.031,-0.341,-0.223
g_beta_6[1],0.064,0.056,-0.043,0.167
g_beta_6[2],0.131,0.053,0.036,0.237
beta_6[1],-0.307,0.056,-0.414,-0.201
beta_6[18],-0.277,0.049,-0.369,-0.188
beta_6[39],-0.145,0.059,-0.254,-0.029
beta_6[8],-0.224,0.06,-0.347,-0.115
beta_6[10],-0.162,0.053,-0.258,-0.056
beta_6[0],-0.243,0.065,-0.377,-0.129
beta_6[19],-0.291,0.05,-0.38,-0.197
beta_6[12],-0.141,0.055,-0.24,-0.03
beta_6[7],-0.281,0.048,-0.362,-0.178
beta_6[6],-0.208,0.066,-0.332,-0.076
beta_6[21],-0.26,0.053,-0.349,-0.152
beta_6[20],-0.293,0.049,-0.383,-0.2
beta_6[33],-0.298,0.051,-0.395,-0.2
beta_6[45],-0.259,0.056,-0.357,-0.152
beta_6[17],-0.288,0.053,-0.382,-0.184
beta_6[29],-0.284,0.052,-0.383,-0.186
beta_6[40],-0.147,0.06,-0.261,-0.038
beta_6[38],-0.312,0.059,-0.424,-0.204
beta_6[24],-0.177,0.059,-0.292,-0.074
beta_6[34],-0.284,0.049,-0.377,-0.192
beta_6[44],-0.28,0.052,-0.382,-0.182
beta_6[30],-0.223,0.065,-0.341,-0.095
beta_6[23],-0.297,0.055,-0.403,-0.191
beta_6[32],-0.241,0.067,-0.373,-0.116
beta_6[15],-0.285,0.051,-0.381,-0.187
beta_6[4],-0.283,0.053,-0.388,-0.187
beta_6[26],-0.142,0.058,-0.256,-0.035
beta_6[42],-0.153,0.085,-0.295,0.01
beta_6[13],-0.242,0.064,-0.348,-0.122
beta_6[14],-0.287,0.047,-0.379,-0.198
