,mean,sd,hdi_3%,hdi_97%
"chol_corr[4, 18]",-0.013,0.151,-0.29,0.27
"chol_corr[4, 19]",0.045,0.148,-0.239,0.315
"chol_corr[4, 20]",0.001,0.157,-0.287,0.3
"chol_corr[4, 21]",-0.005,0.152,-0.302,0.277
"chol_corr[4, 22]",-0.015,0.147,-0.309,0.245
"chol_corr[4, 23]",0.008,0.152,-0.288,0.29
"chol_corr[4, 24]",-0.016,0.157,-0.302,0.294
"chol_corr[4, 25]",-0.04,0.147,-0.319,0.231
"chol_corr[4, 26]",0.009,0.153,-0.268,0.307
"chol_corr[4, 27]",0.001,0.154,-0.288,0.291
"chol_corr[4, 28]",-0.027,0.154,-0.315,0.259
"chol_corr[4, 29]",0.011,0.15,-0.26,0.296
"chol_corr[4, 30]",-0.024,0.149,-0.313,0.25
"chol_corr[4, 31]",0.034,0.157,-0.263,0.32
"chol_corr[4, 32]",0.037,0.16,-0.266,0.327
"chol_corr[4, 33]",0.038,0.149,-0.246,0.321
"chol_corr[4, 34]",0.003,0.153,-0.284,0.282
"chol_corr[4, 35]",0.002,0.153,-0.294,0.276
"chol_corr[4, 36]",-0.029,0.153,-0.31,0.259
"chol_corr[4, 37]",-0.012,0.147,-0.289,0.261
"chol_corr[4, 38]",0.059,0.154,-0.231,0.349
"chol_corr[4, 39]",0.003,0.15,-0.262,0.294
"chol_corr[5, 0]",0.079,0.146,-0.213,0.337
"chol_corr[5, 1]",0.139,0.135,-0.118,0.382
"chol_corr[5, 2]",0.062,0.151,-0.225,0.345
"chol_corr[5, 3]",-0.051,0.15,-0.323,0.234
"chol_corr[5, 4]",0.035,0.15,-0.258,0.294
"chol_corr[5, 5]",1.0,0.0,1.0,1.0
"chol_corr[5, 6]",-0.038,0.155,-0.31,0.266
"chol_corr[5, 7]",-0.15,0.14,-0.429,0.09
"chol_corr[5, 8]",0.043,0.152,-0.233,0.322
"chol_corr[5, 9]",0.008,0.149,-0.293,0.271
"chol_corr[5, 10]",-0.065,0.15,-0.351,0.216
"chol_corr[5, 11]",-0.09,0.146,-0.369,0.183
"chol_corr[5, 12]",-0.099,0.151,-0.378,0.189
"chol_corr[5, 13]",-0.136,0.134,-0.387,0.122
"chol_corr[5, 14]",0.061,0.143,-0.191,0.338
"chol_corr[5, 15]",0.048,0.152,-0.251,0.321
"chol_corr[5, 16]",-0.008,0.146,-0.288,0.264
"chol_corr[5, 17]",0.08,0.152,-0.217,0.347
"chol_corr[5, 18]",-0.01,0.148,-0.287,0.26
"chol_corr[5, 19]",0.072,0.139,-0.195,0.316
"chol_corr[5, 20]",0.01,0.152,-0.296,0.282
"chol_corr[5, 21]",0.064,0.145,-0.192,0.347
"chol_corr[5, 22]",-0.071,0.142,-0.346,0.191
"chol_corr[5, 23]",0.023,0.155,-0.268,0.309
"chol_corr[5, 24]",-0.131,0.141,-0.413,0.115
"chol_corr[5, 25]",-0.115,0.13,-0.367,0.121
"chol_corr[5, 26]",-0.015,0.149,-0.294,0.272
"chol_corr[5, 27]",0.013,0.13,-0.231,0.25
"chol_corr[5, 28]",-0.105,0.143,-0.36,0.162
"chol_corr[5, 29]",-0.035,0.151,-0.308,0.26
"chol_corr[5, 30]",-0.052,0.142,-0.315,0.215
"chol_corr[5, 31]",-0.055,0.141,-0.326,0.208
"chol_corr[5, 32]",0.085,0.131,-0.161,0.325
"chol_corr[5, 33]",0.004,0.133,-0.239,0.262
"chol_corr[5, 34]",0.023,0.138,-0.231,0.276
"chol_corr[5, 35]",0.021,0.144,-0.234,0.294
"chol_corr[5, 36]",-0.051,0.138,-0.334,0.187
"chol_corr[5, 37]",-0.02,0.141,-0.304,0.233
"chol_corr[5, 38]",0.177,0.133,-0.061,0.432
"chol_corr[5, 39]",0.033,0.153,-0.253,0.308
"chol_corr[6, 0]",0.041,0.155,-0.238,0.343
"chol_corr[6, 1]",-0.09,0.141,-0.368,0.162
"chol_corr[6, 2]",-0.024,0.147,-0.3,0.245
"chol_corr[6, 3]",0.0,0.148,-0.259,0.292
"chol_corr[6, 4]",-0.047,0.16,-0.334,0.26
"chol_corr[6, 5]",-0.038,0.155,-0.31,0.266
"chol_corr[6, 6]",1.0,0.0,1.0,1.0
"chol_corr[6, 7]",0.088,0.143,-0.181,0.35
"chol_corr[6, 8]",-0.036,0.157,-0.344,0.247
"chol_corr[6, 9]",-0.065,0.158,-0.342,0.241
"chol_corr[6, 10]",0.049,0.152,-0.23,0.341
"chol_corr[6, 11]",0.041,0.144,-0.218,0.311
"chol_corr[6, 12]",-0.007,0.15,-0.267,0.292
"chol_corr[6, 13]",0.068,0.145,-0.192,0.35
"chol_corr[6, 14]",-0.014,0.149,-0.278,0.269
"chol_corr[6, 15]",-0.031,0.151,-0.319,0.245
"chol_corr[6, 16]",-0.01,0.149,-0.272,0.286
"chol_corr[6, 17]",-0.031,0.148,-0.302,0.258
"chol_corr[6, 18]",-0.001,0.148,-0.28,0.284
"chol_corr[6, 19]",-0.071,0.144,-0.343,0.193
"chol_corr[6, 20]",-0.003,0.155,-0.296,0.276
"chol_corr[6, 21]",-0.042,0.154,-0.325,0.268
"chol_corr[6, 22]",-0.022,0.146,-0.303,0.246
"chol_corr[6, 23]",-0.015,0.152,-0.3,0.258
"chol_corr[6, 24]",-0.049,0.149,-0.321,0.231
"chol_corr[6, 25]",0.091,0.138,-0.173,0.338
"chol_corr[6, 26]",-0.02,0.144,-0.288,0.249
"chol_corr[6, 27]",0.012,0.142,-0.247,0.287
"chol_corr[6, 28]",0.046,0.147,-0.239,0.312
"chol_corr[6, 29]",0.005,0.159,-0.282,0.313
"chol_corr[6, 30]",0.053,0.141,-0.201,0.313
"chol_corr[6, 31]",-0.027,0.148,-0.295,0.247
"chol_corr[6, 32]",-0.067,0.138,-0.331,0.186
"chol_corr[6, 33]",-0.029,0.146,-0.286,0.253
"chol_corr[6, 34]",-0.012,0.148,-0.285,0.264
"chol_corr[6, 35]",-0.022,0.148,-0.325,0.238
"chol_corr[6, 36]",0.054,0.14,-0.221,0.302
"chol_corr[6, 37]",-0.023,0.144,-0.284,0.243
"chol_corr[6, 38]",-0.066,0.145,-0.352,0.189
"chol_corr[6, 39]",0.012,0.151,-0.269,0.282
"chol_corr[7, 0]",-0.02,0.152,-0.306,0.268
"chol_corr[7, 1]",-0.118,0.136,-0.383,0.129
"chol_corr[7, 2]",-0.053,0.15,-0.326,0.247
"chol_corr[7, 3]",0.053,0.146,-0.21,0.319
"chol_corr[7, 4]",-0.055,0.154,-0.34,0.236
"chol_corr[7, 5]",-0.15,0.14,-0.429,0.09
"chol_corr[7, 6]",0.088,0.143,-0.181,0.35
"chol_corr[7, 7]",1.0,0.0,1.0,1.0
"chol_corr[7, 8]",-0.122,0.171,-0.465,0.176
"chol_corr[7, 9]",-0.018,0.152,-0.285,0.273
"chol_corr[7, 10]",0.076,0.142,-0.192,0.334
"chol_corr[7, 11]",0.176,0.145,-0.09,0.443
"chol_corr[7, 12]",0.112,0.152,-0.167,0.391
"chol_corr[7, 13]",0.237,0.135,-0.014,0.486
"chol_corr[7, 14]",-0.036,0.148,-0.313,0.238
"chol_corr[7, 15]",-0.06,0.149,-0.353,0.217
"chol_corr[7, 16]",-0.03,0.143,-0.284,0.25
"chol_corr[7, 17]",-0.042,0.148,-0.327,0.22
"chol_corr[7, 18]",0.0,0.149,-0.297,0.255
"chol_corr[7, 19]",-0.11,0.142,-0.374,0.16
"chol_corr[7, 20]",0.001,0.146,-0.283,0.267
"chol_corr[7, 21]",-0.081,0.147,-0.341,0.204
"chol_corr[7, 22]",0.08,0.14,-0.176,0.347
"chol_corr[7, 23]",-0.003,0.145,-0.279,0.255
"chol_corr[7, 24]",0.066,0.141,-0.21,0.32
"chol_corr[7, 25]",0.079,0.13,-0.181,0.317
"chol_corr[7, 26]",-0.026,0.145,-0.288,0.252
"chol_corr[7, 27]",-0.067,0.137,-0.324,0.183
"chol_corr[7, 28]",0.068,0.145,-0.196,0.343
"chol_corr[7, 29]",0.003,0.149,-0.293,0.264
"chol_corr[7, 30]",0.227,0.134,-0.047,0.453
"chol_corr[7, 31]",0.076,0.14,-0.178,0.355
"chol_corr[7, 32]",-0.099,0.133,-0.328,0.166
"chol_corr[7, 33]",0.012,0.13,-0.233,0.247
"chol_corr[7, 34]",-0.064,0.137,-0.312,0.189
"chol_corr[7, 35]",0.003,0.144,-0.277,0.271
"chol_corr[7, 36]",0.011,0.137,-0.253,0.261
"chol_corr[7, 37]",0.045,0.148,-0.216,0.328
"chol_corr[7, 38]",-0.193,0.136,-0.436,0.07
"chol_corr[7, 39]",-0.035,0.146,-0.301,0.24
"chol_corr[8, 0]",-0.025,0.15,-0.29,0.284
"chol_corr[8, 1]",0.024,0.147,-0.259,0.285
"chol_corr[8, 2]",-0.016,0.149,-0.301,0.241
"chol_corr[8, 3]",0.002,0.148,-0.279,0.272
"chol_corr[8, 4]",0.023,0.152,-0.249,0.317
"chol_corr[8, 5]",0.043,0.152,-0.233,0.322
"chol_corr[8, 6]",-0.036,0.157,-0.344,0.247
"chol_corr[8, 7]",-0.122,0.171,-0.465,0.176
"chol_corr[8, 8]",1.0,0.0,1.0,1.0
"chol_corr[8, 9]",0.016,0.148,-0.264,0.284
"chol_corr[8, 10]",0.002,0.156,-0.295,0.283
"chol_corr[8, 11]",-0.007,0.149,-0.277,0.287
"chol_corr[8, 12]",-0.002,0.152,-0.294,0.279
"chol_corr[8, 13]",-0.034,0.145,-0.314,0.224
"chol_corr[8, 14]",0.013,0.154,-0.281,0.295
"chol_corr[8, 15]",0.013,0.152,-0.273,0.306
"chol_corr[8, 16]",0.008,0.154,-0.261,0.305
"chol_corr[8, 17]",0.026,0.152,-0.262,0.306
"chol_corr[8, 18]",0.002,0.149,-0.278,0.274
"chol_corr[8, 19]",0.029,0.157,-0.266,0.311
"chol_corr[8, 20]",0.014,0.15,-0.251,0.306
"chol_corr[8, 21]",0.037,0.15,-0.259,0.305
"chol_corr[8, 22]",-0.011,0.147,-0.276,0.278
"chol_corr[8, 23]",-0.006,0.144,-0.28,0.246
"chol_corr[8, 24]",-0.002,0.158,-0.297,0.285
"chol_corr[8, 25]",0.008,0.146,-0.269,0.275
"chol_corr[8, 26]",0.016,0.152,-0.292,0.276
"chol_corr[8, 27]",0.031,0.142,-0.213,0.317
"chol_corr[8, 28]",-0.001,0.149,-0.288,0.27
"chol_corr[8, 29]",0.011,0.152,-0.277,0.293
"chol_corr[8, 30]",-0.02,0.147,-0.298,0.241
"chol_corr[8, 31]",0.01,0.144,-0.252,0.283
"chol_corr[8, 32]",0.011,0.15,-0.26,0.299
"chol_corr[8, 33]",-0.032,0.144,-0.302,0.24
"chol_corr[8, 34]",-0.003,0.149,-0.303,0.253
"chol_corr[8, 35]",0.044,0.155,-0.237,0.333
"chol_corr[8, 36]",-0.013,0.151,-0.302,0.268
"chol_corr[8, 37]",-0.0,0.153,-0.274,0.306
"chol_corr[8, 38]",0.027,0.146,-0.242,0.305
"chol_corr[8, 39]",0.013,0.156,-0.287,0.296
"chol_corr[9, 0]",0.014,0.154,-0.273,0.295
"chol_corr[9, 1]",0.008,0.146,-0.264,0.272
"chol_corr[9, 2]",0.007,0.155,-0.275,0.299
"chol_corr[9, 3]",0.015,0.151,-0.268,0.297
"chol_corr[9, 4]",0.022,0.156,-0.267,0.317
"chol_corr[9, 5]",0.008,0.149,-0.293,0.271
"chol_corr[9, 6]",-0.065,0.158,-0.342,0.241
"chol_corr[9, 7]",-0.018,0.152,-0.285,0.273
"chol_corr[9, 8]",0.016,0.148,-0.264,0.284
"chol_corr[9, 9]",1.0,0.0,1.0,1.0
"chol_corr[9, 10]",-0.012,0.15,-0.286,0.275
"chol_corr[9, 11]",-0.016,0.15,-0.285,0.269
"chol_corr[9, 12]",0.002,0.15,-0.266,0.287
"chol_corr[9, 13]",-0.043,0.154,-0.335,0.247
"chol_corr[9, 14]",0.007,0.153,-0.275,0.294
"chol_corr[9, 15]",0.018,0.151,-0.285,0.278
"chol_corr[9, 16]",-0.016,0.152,-0.307,0.258
"chol_corr[9, 17]",0.006,0.157,-0.274,0.309
"chol_corr[9, 18]",0.002,0.152,-0.285,0.281
"chol_corr[9, 19]",0.024,0.146,-0.249,0.297
"chol_corr[9, 20]",0.01,0.153,-0.285,0.287
"chol_corr[9, 21]",-0.026,0.158,-0.321,0.26
"chol_corr[9, 22]",0.017,0.149,-0.284,0.274
"chol_corr[9, 23]",0.011,0.152,-0.276,0.303
"chol_corr[9, 24]",0.009,0.154,-0.275,0.298
"chol_corr[9, 25]",-0.044,0.149,-0.302,0.254
"chol_corr[9, 26]",0.008,0.151,-0.305,0.274
"chol_corr[9, 27]",-0.056,0.149,-0.319,0.233
"chol_corr[9, 28]",0.007,0.15,-0.276,0.287
"chol_corr[9, 29]",0.014,0.154,-0.272,0.301
"chol_corr[9, 30]",0.012,0.146,-0.28,0.268
"chol_corr[9, 31]",0.046,0.158,-0.264,0.326
"chol_corr[9, 32]",0.047,0.16,-0.241,0.341
"chol_corr[9, 33]",0.061,0.152,-0.215,0.352
"chol_corr[9, 34]",0.03,0.157,-0.257,0.329
"chol_corr[9, 35]",-0.023,0.148,-0.303,0.246
"chol_corr[9, 36]",-0.046,0.153,-0.326,0.248
"chol_corr[9, 37]",0.03,0.148,-0.233,0.313
"chol_corr[9, 38]",0.041,0.151,-0.25,0.31
"chol_corr[9, 39]",-0.011,0.151,-0.301,0.261
"chol_corr[10, 0]",-0.048,0.15,-0.329,0.234
"chol_corr[10, 1]",-0.083,0.147,-0.361,0.186
"chol_corr[10, 2]",-0.032,0.156,-0.309,0.263
"chol_corr[10, 3]",0.047,0.164,-0.27,0.332
"chol_corr[10, 4]",0.002,0.15,-0.274,0.279
"chol_corr[10, 5]",-0.065,0.15,-0.351,0.216
"chol_corr[10, 6]",0.049,0.152,-0.23,0.341
"chol_corr[10, 7]",0.076,0.142,-0.192,0.334
"chol_corr[10, 8]",0.002,0.156,-0.295,0.283
"chol_corr[10, 9]",-0.012,0.15,-0.286,0.275
"chol_corr[10, 10]",1.0,0.0,1.0,1.0
"chol_corr[10, 11]",0.072,0.15,-0.203,0.346
"chol_corr[10, 12]",0.057,0.149,-0.217,0.339
"chol_corr[10, 13]",0.087,0.149,-0.208,0.357
"chol_corr[10, 14]",-0.038,0.153,-0.318,0.247
"chol_corr[10, 15]",-0.024,0.152,-0.314,0.251
"chol_corr[10, 16]",-0.019,0.152,-0.31,0.258
"chol_corr[10, 17]",-0.058,0.148,-0.353,0.202
"chol_corr[10, 18]",0.017,0.151,-0.257,0.305
"chol_corr[10, 19]",-0.06,0.145,-0.329,0.215
"chol_corr[10, 20]",0.054,0.158,-0.242,0.351
"chol_corr[10, 21]",-0.028,0.153,-0.325,0.249
"chol_corr[10, 22]",-0.007,0.151,-0.29,0.276
"chol_corr[10, 23]",-0.018,0.147,-0.286,0.259
"chol_corr[10, 24]",0.022,0.151,-0.242,0.317
"chol_corr[10, 25]",0.108,0.141,-0.157,0.358
"chol_corr[10, 26]",0.012,0.148,-0.259,0.292
"chol_corr[10, 27]",-0.001,0.134,-0.252,0.248
"chol_corr[10, 28]",0.031,0.155,-0.264,0.317
"chol_corr[10, 29]",0.001,0.15,-0.291,0.27
"chol_corr[10, 30]",0.063,0.146,-0.203,0.34
"chol_corr[10, 31]",0.004,0.144,-0.269,0.267
"chol_corr[10, 32]",-0.043,0.139,-0.291,0.226
"chol_corr[10, 33]",-0.044,0.135,-0.312,0.197
"chol_corr[10, 34]",-0.039,0.147,-0.33,0.22
"chol_corr[10, 35]",0.038,0.148,-0.258,0.3
"chol_corr[10, 36]",-0.02,0.143,-0.279,0.258
"chol_corr[10, 37]",-0.032,0.141,-0.299,0.227
"chol_corr[10, 38]",-0.088,0.149,-0.347,0.198
"chol_corr[10, 39]",-0.012,0.149,-0.286,0.269
"chol_corr[11, 0]",0.015,0.148,-0.259,0.293
"chol_corr[11, 1]",-0.075,0.142,-0.325,0.2
"chol_corr[11, 2]",-0.009,0.148,-0.281,0.275
"chol_corr[11, 3]",0.038,0.153,-0.251,0.32
"chol_corr[11, 4]",-0.031,0.153,-0.325,0.239
"chol_corr[11, 5]",-0.09,0.146,-0.369,0.183
"chol_corr[11, 6]",0.041,0.144,-0.218,0.311
"chol_corr[11, 7]",0.176,0.145,-0.09,0.443
"chol_corr[11, 8]",-0.007,0.149,-0.277,0.287
"chol_corr[11, 9]",-0.016,0.15,-0.285,0.269
"chol_corr[11, 10]",0.072,0.15,-0.203,0.346
"chol_corr[11, 11]",1.0,0.0,1.0,1.0
"chol_corr[11, 12]",0.041,0.149,-0.248,0.312
"chol_corr[11, 13]",0.054,0.139,-0.204,0.313
"chol_corr[11, 14]",-0.064,0.153,-0.359,0.222
"chol_corr[11, 15]",-0.023,0.151,-0.303,0.259
"chol_corr[11, 16]",-0.064,0.149,-0.355,0.224
"chol_corr[11, 17]",-0.099,0.159,-0.406,0.192
"chol_corr[11, 18]",-0.008,0.147,-0.284,0.263
"chol_corr[11, 19]",-0.101,0.143,-0.362,0.176
"chol_corr[11, 20]",-0.022,0.148,-0.295,0.264
"chol_corr[11, 21]",-0.088,0.148,-0.379,0.181
"chol_corr[11, 22]",0.046,0.145,-0.212,0.332
"chol_corr[11, 23]",-0.009,0.151,-0.315,0.245
"chol_corr[11, 24]",0.028,0.143,-0.243,0.292
"chol_corr[11, 25]",-0.018,0.14,-0.283,0.245
"chol_corr[11, 26]",-0.03,0.152,-0.299,0.276
"chol_corr[11, 27]",-0.044,0.146,-0.314,0.235
"chol_corr[11, 28]",0.057,0.146,-0.22,0.318
"chol_corr[11, 29]",0.007,0.149,-0.268,0.278
"chol_corr[11, 30]",0.115,0.146,-0.162,0.378
"chol_corr[11, 31]",-0.029,0.143,-0.284,0.246
"chol_corr[11, 32]",0.026,0.143,-0.231,0.296
"chol_corr[11, 33]",0.053,0.146,-0.222,0.319
"chol_corr[11, 34]",0.011,0.139,-0.25,0.27
"chol_corr[11, 35]",-0.062,0.15,-0.344,0.22
"chol_corr[11, 36]",-0.073,0.141,-0.337,0.183
"chol_corr[11, 37]",0.04,0.15,-0.225,0.327
"chol_corr[11, 38]",-0.082,0.143,-0.353,0.183
"chol_corr[11, 39]",-0.043,0.152,-0.323,0.249
"chol_corr[12, 0]",-0.031,0.151,-0.3,0.257
"chol_corr[12, 1]",-0.064,0.142,-0.339,0.192
"chol_corr[12, 2]",-0.005,0.155,-0.298,0.276
"chol_corr[12, 3]",0.021,0.149,-0.246,0.308
"chol_corr[12, 4]",-0.021,0.157,-0.31,0.282
"chol_corr[12, 5]",-0.099,0.151,-0.378,0.189
"chol_corr[12, 6]",-0.007,0.15,-0.267,0.292
"chol_corr[12, 7]",0.112,0.152,-0.167,0.391
"chol_corr[12, 8]",-0.002,0.152,-0.294,0.279
"chol_corr[12, 9]",0.002,0.15,-0.266,0.287
"chol_corr[12, 10]",0.057,0.149,-0.217,0.339
"chol_corr[12, 11]",0.041,0.149,-0.248,0.312
"chol_corr[12, 12]",1.0,0.0,1.0,1.0
"chol_corr[12, 13]",0.123,0.143,-0.151,0.378
"chol_corr[12, 14]",-0.037,0.15,-0.329,0.244
"chol_corr[12, 15]",-0.045,0.16,-0.351,0.234
"chol_corr[12, 16]",-0.028,0.152,-0.326,0.253
"chol_corr[12, 17]",-0.09,0.156,-0.37,0.218
"chol_corr[12, 18]",0.0,0.15,-0.305,0.255
"chol_corr[12, 19]",-0.083,0.145,-0.357,0.182
"chol_corr[12, 20]",-0.016,0.149,-0.296,0.248
"chol_corr[12, 21]",-0.096,0.149,-0.369,0.189
"chol_corr[12, 22]",0.05,0.15,-0.211,0.35
"chol_corr[12, 23]",0.003,0.152,-0.28,0.288
"chol_corr[12, 24]",0.088,0.152,-0.209,0.358
"chol_corr[12, 25]",-0.017,0.139,-0.282,0.235
"chol_corr[12, 26]",-0.026,0.153,-0.324,0.244
"chol_corr[12, 27]",-0.035,0.146,-0.34,0.211
"chol_corr[12, 28]",0.07,0.15,-0.214,0.352
"chol_corr[12, 29]",0.008,0.15,-0.271,0.289
"chol_corr[12, 30]",0.112,0.148,-0.178,0.377
"chol_corr[12, 31]",0.102,0.159,-0.21,0.39
"chol_corr[12, 32]",-0.001,0.144,-0.27,0.265
"chol_corr[12, 33]",-0.024,0.149,-0.298,0.258
"chol_corr[12, 34]",-0.013,0.142,-0.276,0.25
"chol_corr[12, 35]",-0.027,0.15,-0.304,0.254
"chol_corr[12, 36]",-0.071,0.143,-0.337,0.201
"chol_corr[12, 37]",0.011,0.152,-0.3,0.268
"chol_corr[12, 38]",-0.112,0.148,-0.385,0.161
"chol_corr[12, 39]",-0.037,0.154,-0.325,0.25
"chol_corr[13, 0]",-0.018,0.15,-0.29,0.286
"chol_corr[13, 1]",-0.059,0.136,-0.308,0.196
"chol_corr[13, 2]",-0.07,0.159,-0.358,0.235
"chol_corr[13, 3]",0.018,0.148,-0.257,0.287
"chol_corr[13, 4]",-0.091,0.156,-0.398,0.194
"chol_corr[13, 5]",-0.136,0.134,-0.387,0.122
"chol_corr[13, 6]",0.068,0.145,-0.192,0.35
"chol_corr[13, 7]",0.237,0.135,-0.014,0.486
"chol_corr[13, 8]",-0.034,0.145,-0.314,0.224
"chol_corr[13, 9]",-0.043,0.154,-0.335,0.247
"chol_corr[13, 10]",0.087,0.149,-0.208,0.357
"chol_corr[13, 11]",0.054,0.139,-0.204,0.313
"chol_corr[13, 12]",0.123,0.143,-0.151,0.378
"chol_corr[13, 13]",1.0,0.0,1.0,1.0
"chol_corr[13, 14]",-0.015,0.149,-0.292,0.258
"chol_corr[13, 15]",-0.094,0.161,-0.391,0.199
"chol_corr[13, 16]",-0.017,0.14,-0.281,0.238
"chol_corr[13, 17]",-0.075,0.149,-0.357,0.197
"chol_corr[13, 18]",0.017,0.15,-0.251,0.296
"chol_corr[13, 19]",-0.045,0.146,-0.304,0.235
"chol_corr[13, 20]",-0.023,0.152,-0.308,0.254
"chol_corr[13, 21]",-0.03,0.145,-0.315,0.227
"chol_corr[13, 22]",0.031,0.143,-0.225,0.303
"chol_corr[13, 23]",-0.044,0.145,-0.294,0.245
"chol_corr[13, 24]",0.053,0.136,-0.2,0.312
"chol_corr[13, 25]",0.093,0.133,-0.163,0.338
"chol_corr[13, 26]",0.038,0.151,-0.241,0.325
"chol_corr[13, 27]",0.104,0.122,-0.133,0.326
"chol_corr[13, 28]",0.098,0.145,-0.182,0.358
"chol_corr[13, 29]",-0.007,0.154,-0.274,0.295
"chol_corr[13, 30]",0.111,0.127,-0.118,0.352
"chol_corr[13, 31]",0.138,0.136,-0.118,0.382
"chol_corr[13, 32]",-0.15,0.128,-0.381,0.095
"chol_corr[13, 33]",-0.016,0.132,-0.263,0.226
"chol_corr[13, 34]",-0.075,0.137,-0.333,0.18
"chol_corr[13, 35]",0.053,0.143,-0.207,0.333
"chol_corr[13, 36]",0.046,0.131,-0.186,0.31
"chol_corr[13, 37]",0.006,0.139,-0.253,0.263
"chol_corr[13, 38]",-0.202,0.138,-0.456,0.052
"chol_corr[13, 39]",-0.041,0.154,-0.35,0.229
"chol_corr[14, 0]",0.036,0.152,-0.256,0.314
"chol_corr[14, 1]",0.091,0.146,-0.193,0.357
"chol_corr[14, 2]",0.025,0.152,-0.243,0.332
"chol_corr[14, 3]",-0.032,0.151,-0.309,0.256
"chol_corr[14, 4]",0.018,0.152,-0.267,0.302
"chol_corr[14, 5]",0.061,0.143,-0.191,0.338
"chol_corr[14, 6]",-0.014,0.149,-0.278,0.269
"chol_corr[14, 7]",-0.036,0.148,-0.313,0.238
"chol_corr[14, 8]",0.013,0.154,-0.281,0.295
"chol_corr[14, 9]",0.007,0.153,-0.275,0.294
"chol_corr[14, 10]",-0.038,0.153,-0.318,0.247
"chol_corr[14, 11]",-0.064,0.153,-0.359,0.222
"chol_corr[14, 12]",-0.037,0.15,-0.329,0.244
"chol_corr[14, 13]",-0.015,0.149,-0.292,0.258
"chol_corr[14, 14]",1.0,0.0,1.0,1.0
"chol_corr[14, 15]",0.016,0.155,-0.281,0.294
"chol_corr[14, 16]",-0.014,0.149,-0.285,0.275
"chol_corr[14, 17]",0.054,0.154,-0.267,0.313
"chol_corr[14, 18]",0.002,0.154,-0.27,0.298
"chol_corr[14, 19]",0.038,0.153,-0.251,0.323
"chol_corr[14, 20]",-0.003,0.151,-0.287,0.272
"chol_corr[14, 21]",-0.01,0.149,-0.288,0.266
"chol_corr[14, 22]",-0.042,0.152,-0.302,0.26
"chol_corr[14, 23]",0.013,0.154,-0.263,0.308
"chol_corr[14, 24]",-0.048,0.145,-0.311,0.237
"chol_corr[14, 25]",-0.081,0.146,-0.347,0.202
"chol_corr[14, 26]",-0.007,0.149,-0.286,0.266
"chol_corr[14, 27]",0.004,0.145,-0.27,0.264
"chol_corr[14, 28]",-0.027,0.151,-0.308,0.263
"chol_corr[14, 29]",-0.005,0.149,-0.273,0.279
"chol_corr[14, 30]",-0.029,0.149,-0.315,0.248
"chol_corr[14, 31]",-0.033,0.142,-0.288,0.237
"chol_corr[14, 32]",0.048,0.144,-0.213,0.322
"chol_corr[14, 33]",0.025,0.15,-0.263,0.293
"chol_corr[14, 34]",0.018,0.149,-0.245,0.307
"chol_corr[14, 35]",-0.004,0.143,-0.275,0.266
"chol_corr[14, 36]",-0.002,0.147,-0.276,0.27
"chol_corr[14, 37]",0.013,0.149,-0.266,0.287
"chol_corr[14, 38]",0.056,0.149,-0.224,0.333
"chol_corr[14, 39]",0.002,0.148,-0.286,0.266
"chol_corr[15, 0]",0.023,0.153,-0.277,0.298
"chol_corr[15, 1]",0.031,0.15,-0.259,0.307
"chol_corr[15, 2]",0.027,0.144,-0.255,0.287
"chol_corr[15, 3]",-0.009,0.154,-0.301,0.264
"chol_corr[15, 4]",0.012,0.152,-0.256,0.308
"chol_corr[15, 5]",0.048,0.152,-0.251,0.321
"chol_corr[15, 6]",-0.031,0.151,-0.319,0.245
"chol_corr[15, 7]",-0.06,0.149,-0.353,0.217
"chol_corr[15, 8]",0.013,0.152,-0.273,0.306
"chol_corr[15, 9]",0.018,0.151,-0.285,0.278
"chol_corr[15, 10]",-0.024,0.152,-0.314,0.251
"chol_corr[15, 11]",-0.023,0.151,-0.303,0.259
"chol_corr[15, 12]",-0.045,0.16,-0.351,0.234
"chol_corr[15, 13]",-0.094,0.161,-0.391,0.199
"chol_corr[15, 14]",0.016,0.155,-0.281,0.294
"chol_corr[15, 15]",1.0,0.0,1.0,1.0
"chol_corr[15, 16]",-0.008,0.153,-0.312,0.264
"chol_corr[15, 17]",0.021,0.154,-0.273,0.302
"chol_corr[15, 18]",-0.005,0.152,-0.289,0.269
"chol_corr[15, 19]",0.017,0.151,-0.286,0.28
"chol_corr[15, 20]",-0.012,0.157,-0.315,0.273
"chol_corr[15, 21]",0.0,0.148,-0.286,0.269
"chol_corr[15, 22]",0.012,0.149,-0.259,0.29
"chol_corr[15, 23]",0.02,0.148,-0.268,0.294
"chol_corr[15, 24]",-0.019,0.155,-0.305,0.27
"chol_corr[15, 25]",-0.032,0.142,-0.289,0.235
"chol_corr[15, 26]",0.006,0.153,-0.286,0.277
"chol_corr[15, 27]",-0.012,0.154,-0.3,0.271
"chol_corr[15, 28]",-0.018,0.152,-0.322,0.25
"chol_corr[15, 29]",-0.018,0.148,-0.29,0.264
"chol_corr[15, 30]",-0.03,0.146,-0.308,0.23
"chol_corr[15, 31]",0.036,0.151,-0.261,0.3
"chol_corr[15, 32]",0.035,0.149,-0.247,0.314
"chol_corr[15, 33]",0.034,0.146,-0.236,0.308
"chol_corr[15, 34]",0.019,0.15,-0.268,0.293
"chol_corr[15, 35]",-0.036,0.151,-0.312,0.25
